municipio,año,periodo,casos,poblacion,tasa,esperado,REM
BARANOA,2018,2,1,62371,9.71322893695922e-5,6.058238020270835,0.16506449509808047
BARANOA,2018,4,1,62371,2.8614255622150956e-5,1.7846997374091773,0.5603183432142403
BARANOA,2018,5,1,62371,3.810004163790265e-5,2.376337696997626,0.4208156110402346
BARANOA,2018,6,2,62371,4.4248884043144435e-5,2.7598471466549617,0.7246778150101809
BARANOA,2018,7,3,62371,7.687843550508663e-5,4.7949849008877585,0.6256536906809802
BARANOA,2018,8,7,62371,9.463492756788235e-5,5.902475067336391,1.1859431713209911
BARANOA,2018,9,11,62371,9.597514333484023e-5,5.98606566493732,1.8376009579098362
BARANOA,2018,10,32,62371,1.498853331224517e-4,9.348498112180435,3.4230097301197775
BARANOA,2018,11,24,62371,1.7008655143232985e-4,10.608468299385844,2.262343565789741
BARANOA,2018,12,26,62371,2.2590697786283408e-4,14.090044116282824,1.845274563047941
BARANOA,2018,13,54,62371,2.4116327910867475e-4,15.041594881287153,3.590044834087372
BARANOA,2019,1,55,64550,2.076576561051351e-4,13.404301701586471,4.103160405102673
BARANOA,2019,2,15,64550,1.0533413879438326e-4,6.799318659177439,2.2061033982800056
BARANOA,2019,3,19,64550,5.352779952659651e-5,3.4552194594418046,5.498927122582678
BARANOA,2019,4,2,64550,3.834176540450562e-5,2.474960956860838,0.8080935557612742
BARANOA,2019,5,5,64550,4.72684832660975e-5,3.0511805948265933,1.638709950003521
BARANOA,2019,6,3,64550,4.667658244834832e-5,3.012973397040884,0.9956941547994996
BARANOA,2019,7,6,64550,9.375364494977906e-5,6.051797781508238,0.9914409265844093
BARANOA,2019,8,15,64550,1.1797208302458832e-4,7.615097959237176,1.9697711152625261
BARANOA,2019,9,27,64550,1.1487237835054205e-4,7.415012022527489,3.641261796740385
BARANOA,2019,10,42,64550,9.5810393606517e-5,6.184560907300672,6.791104595707089
BARANOA,2019,11,54,64550,1.581910247888378e-4,10.21123065011948,5.288295000893761
BARANOA,2019,12,67,64550,2.4239431719989677e-4,15.646553175253336,4.282093266775683
BARANOA,2019,13,85,64550,3.166691593235031e-4,20.440994234332127,4.15831045327709
BARANOA,2020,1,67,66927,3.3363221219008695e-4,22.32900306524595,3.000581790607677
BARANOA,2020,2,31,66927,1.9503212360501006e-4,13.052914936512508,2.374948442610675
BARANOA,2020,3,8,66927,7.903710227401034e-5,5.28971614389269,1.5123684867734355
BARANOA,2020,4,4,66927,3.1161358567857645e-5,2.0855362448710086,1.91797194119127
BARANOA,2020,6,1,66927,2.171322796989461e-5,1.4532012083411365,0.6881359540992424
BARANOA,2020,8,7,66927,2.3150463194467594e-5,1.5493910502161328,4.517903984938814
BARANOA,2020,9,12,66927,4.202460882907712e-5,2.8125809951036445,4.266543797633034
BARANOA,2020,10,7,66927,4.7472151109898895e-5,3.1771686573322033,2.203219518688612
BARANOA,2020,11,9,66927,4.835255923188506e-5,3.236091731712371,2.7811325345952627
BARANOA,2020,12,11,66927,5.670953553118227e-5,3.7953990844954357,2.8982459433412524
BARANOA,2020,13,13,66927,1.1132073260760027e-4,7.450362671228864,1.7448815008968923
BARANOA,2021,1,4,68800,6.808375885682619e-5,4.684162609349642,0.8539413196322336
BARANOA,2021,2,1,68800,5.210255148757055e-5,3.584655542344854,0.2789668318719024
BARANOA,2021,4,1,68800,2.650856685511539e-5,1.8237893996319388,0.5483089221824687
BARANOA,2021,7,1,68800,5.6680773881499396e-5,3.8996372430471586,0.2564341085271318
BARANOA,2021,8,2,68800,1.1191199240916943e-4,7.699545077750857,0.25975560631229233
BARANOA,2021,9,9,68800,2.50639088722142e-4,17.243969304083368,0.521921597127223
BARANOA,2021,10,24,68800,3.59547941345098e-4,24.736898364542743,0.9702105593966059
BARANOA,2021,11,18,68800,4.1853895028106053e-4,28.795479779336965,0.6250981104651163
BARANOA,2021,12,29,68800,5.452221432515547e-4,37.51128345570696,0.7731007133958234
BARANOA,2021,13,20,68800,3.869934211118411e-4,26.62514737249467,0.7511695511087073
BARANOA,2022,1,6,70464,2.192701055175691e-4,15.45064871518999,0.388333209213489
BARANOA,2022,2,1,70464,1.553884202225685e-4,10.949289642563068,0.09133012575653399
BARANOA,2022,3,1,70464,8.248102936324645e-5,5.811943253051798,0.1720594913714805
BARANOA,2022,5,1,70464,6.586926114062313e-5,4.641411617012868,0.21545169498317038
BARANOA,2022,6,5,70464,1.591294979941727e-4,11.212900946661383,0.44591493528610354
BARANOA,2022,7,4,70464,2.0335462504675341e-4,14.329180299294432,0.27915065038276893
BARANOA,2022,8,15,70464,2.899313370111123e-4,20.42972173115102,0.7342243911784742
BARANOA,2022,9,12,70464,2.4209310432224935e-4,17.058848502962977,0.7034472460386586
BARANOA,2022,10,11,70464,2.59268312325771e-4,18.269082359723125,0.602110154380338
BARANOA,2022,11,18,70464,3.8573183531486757e-4,27.180208043626827,0.6622465866011137
BARANOA,2022,12,15,70464,4.3288916530475534e-4,30.50310214403428,0.4917532626409823
BARANOA,2022,13,7,70464,5.263723116063582e-4,37.09029856503042,0.18872859671719547
BARANOA,2023,1,12,72072,3.701077708451503e-4,26.67440726035167,0.4498694153866568
BARANOA,2023,2,3,72072,2.1217267080088766e-4,15.291708729961575,0.19618474645165035
BARANOA,2023,3,2,72072,9.03675589352035e-5,6.512970707577987,0.30707953248936853
BARANOA,2023,4,3,72072,5.027066363659577e-5,3.6231072696167304,0.8280185423042565
BARANOA,2023,5,2,72072,6.153453792751676e-5,4.434917217511988,0.45096670397875216
