CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,20/02/2017 00:00,degC,20,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,21/02/2017 00:00,degC,21.4,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,22/02/2017 00:00,degC,20,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,23/02/2017 00:00,degC,20,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,24/02/2017 00:00,degC,19,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,25/02/2017 00:00,degC,25,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,26/02/2017 00:00,degC,24.2,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,27/02/2017 00:00,degC,23.2,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,28/02/2017 00:00,degC,24.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,01/03/2017 00:00,degC,24.2,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,02/03/2017 00:00,degC,23.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,03/03/2017 00:00,degC,24,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,04/03/2017 00:00,degC,24.2,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,05/03/2017 00:00,degC,24,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,06/03/2017 00:00,degC,23.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,07/03/2017 00:00,degC,24,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,08/03/2017 00:00,degC,24.2,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,09/03/2017 00:00,degC,23.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,10/03/2017 00:00,degC,22.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,11/03/2017 00:00,degC,22.4,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,12/03/2017 00:00,degC,22,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,13/03/2017 00:00,degC,23.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,14/03/2017 00:00,degC,23,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,15/03/2017 00:00,degC,23,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,16/03/2017 00:00,degC,23,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,17/03/2017 00:00,degC,24,Definitivo
