"año","casos","poblacion","tasa"
2017,501,1287569,0.000389105360567084
2018,1591,1329184,0.00119697498615692
2019,2031,1378073,0.00147379710653935
2020,1273,1432478,0.000888669843446112
2021,3099,1469499,0.00210888200672474
2022,4054,1499114,0.00270426398526063
2023,5609,1528185,0.00367036713486914
