"año","casos","poblacion","tasa"
2017,11,1272021,8.64765597423313e-06
2018,22,1313154,1.67535567039357e-05
2019,32,1361444,2.35044555633577e-05
2020,22,1415227,1.5545209355107e-05
2021,72,1451707,4.95967850261795e-05
2022,203,1480881,0.000137080562178865
2023,56,1509486,3.70987210215928e-05
