"municipio","año","casos","poblacion","esperado","REM"
"REPELÓN","2021",1,28418,1.40944143687397,0.709500922732853
"REPELÓN","2022",3,28912,3.96327321371535,0.756950086009252
"REPELÓN","2023",0,29382,1.09003462105644,0
"REPELÓN","total_grave",5,NA,NA,NA
"SABANAGRANDE","2017",0,31373,0.271302910879616,0
"SABANAGRANDE","2018",0,32341,0.541826777361985,0
"SABANAGRANDE","2019",0,33538,0.788292430683892,0
"SABANAGRANDE","2020",0,34851,0.541766091234834,0
"SABANAGRANDE","2021",1,35912,1.78111974386016,0.561444565109774
"SABANAGRANDE","2022",0,36855,5.05210411910208,0
"SABANAGRANDE","2023",1,37771,1.40125579170658,0.713645578429407
"SABANAGRANDE","total_grave",2,NA,NA,NA
"SABANALARGA","2017",0,90769,0.784939085125167,0
"SABANALARGA","2018",1,93248,1.5622356555286,0.640108293816684
"SABANALARGA","2019",3,95541,2.24563918897876,1.33592253587465
"SABANALARGA","2020",5,98114,1.52520267066697,3.27825284872699
"SABANALARGA","2021",6,99882,4.95382608198486,1.2111850316707
"SABANALARGA","2022",14,101256,13.8802294039832,1.00862886286177
"SABANALARGA","2023",3,102557,3.80473353181149,0.788491486964044
"SABANALARGA","total_grave",32,NA,NA,NA
"SANTO TOMÁS","2017",0,29001,0.250790670908735,0
"SANTO TOMÁS","2018",0,29842,0.49995963915885,0
"SANTO TOMÁS","2019",0,30976,0.728074015530569,0
"SANTO TOMÁS","2020",0,32228,0.500991007096388,0
"SANTO TOMÁS","2021",0,33251,1.6491426989055,0
"SANTO TOMÁS","2022",0,34180,4.68541361527361,0
"SANTO TOMÁS","2023",1,35083,1.30153442960054,0.768323893135055
"SANTO TOMÁS","total_grave",1,NA,NA,NA
"SOLEDAD","2017",7,583036,5.04189474859299,1.38836694319203
"SOLEDAD","2018",10,603998,10.1191147420638,0.988228738866986
"SOLEDAD","2019",5,627273,14.7437103545941,0.339127660524206
"SOLEDAD","2020",7,653377,10.1568822528117,0.689187865504908
"SOLEDAD","2021",33,670454,33.2523629079422,0.992410677441455
"SOLEDAD","2022",74,683762,93.7304793565452,0.789497722704568
"SOLEDAD","2023",31,696982,25.8571407750718,1.19889512416185
"SOLEDAD","total_grave",167,NA,NA,NA
"SUAN","2017",0,11696,0.101142984274631,0
"SUAN","2018",0,11937,0.199987206374881,0
"SUAN","2019",0,12350,0.290280026207468,0
"SUAN","2020",0,12827,0.199398400397957,0
"SUAN","2021",0,13192,0.65428078806536,0
"SUAN","2022",4,13503,1.85099883110122,2.16099542192594
"SUAN","2023",0,13814,0.512481732192283,0
"SUAN","total_grave",4,NA,NA,NA
"TUBARÁ","2017",1,16827,0.145514107078421,6.87218593494222
"TUBARÁ","2018",0,17376,0.291109801287587,0
"TUBARÁ","2019",1,17949,0.421881472906708,2.37033400189426
"TUBARÁ","2020",1,18586,0.288923261074019,3.46112665447111
"TUBARÁ","2021",0,19036,0.944124399758353,0
"TUBARÁ","2022",2,19376,2.65607297277769,0.752991359988285
"TUBARÁ","2023",0,19692,0.730548014357205,0
"TUBARÁ","total_grave",5,NA,NA,NA
"USIACURÍ","2017",0,11888,0.102803334221683,0
"USIACURÍ","2018",0,12261,0.205415358746956,0
"USIACURÍ","2019",1,12771,0.300175401999642,3.33138556103672
"USIACURÍ","2020",0,13321,0.20707773381938,0
"USIACURÍ","2021",0,13795,0.684187649436147,0
"USIACURÍ","2022",0,14221,1.94942267474564,0
"USIACURÍ","2023",1,14627,0.542642992382838,1.84283223783805
"USIACURÍ","total_grave",2,NA,NA,NA
