"año","casos","poblacion","tasa"
2013,3109,45434942,6.84275111432958e-05
2014,2619,45866010,5.7101108206273e-05
2015,1421,46313898,3.06819348265611e-05
2016,899,46830116,1.91970483267648e-05
2017,236,47419200,4.97688699935891e-06
2018,519,48258494,1.0754583431468e-05
2019,1348,49266526,2.73613771752447e-05
2020,862,50390790,1.71063005759584e-05
2021,940,51115637,1.83896759420214e-05
2022,1339,51643565,2.59277220695357e-05
2023,1720,52117067,3.30026246488506e-05
