"año","casos","poblacion","tasa"
2017,10,1243020,8.04492284918988e-06
2018,22,1283312,1.71431421197651e-05
2019,32,1330468,2.40516870755253e-05
2020,22,1382999,1.59074590798692e-05
2021,72,1418456,5.07594172818896e-05
2022,203,1446701,0.000140319250487834
