municipio,periodo_global,REM
BARANOA,2,0.16506449509808
BARANOA,4,0.56031834321424
BARANOA,5,0.420815611040235
BARANOA,6,0.724677815010181
BARANOA,7,0.62565369068098
BARANOA,8,1.18594317132099
BARANOA,9,1.83760095790984
BARANOA,10,3.42300973011978
BARANOA,11,2.26234356578974
BARANOA,12,1.84527456304794
BARANOA,13,3.59004483408737
BARANOA,14,4.10316040510267
BARANOA,15,2.20610339828001
BARANOA,16,5.49892712258268
BARANOA,17,0.808093555761274
BARANOA,18,1.63870995000352
BARANOA,19,0.9956941547995
BARANOA,20,0.991440926584409
BARANOA,21,1.96977111526253
BARANOA,22,3.64126179674038
BARANOA,23,6.79110459570709
BARANOA,24,5.28829500089376
BARANOA,25,4.28209326677568
BARANOA,26,4.15831045327709
BARANOA,27,3.00058179060768
BARANOA,28,2.37494844261068
BARANOA,29,1.51236848677344
BARANOA,30,1.91797194119127
BARANOA,32,0.688135954099242
BARANOA,34,4.51790398493881
BARANOA,35,4.26654379763303
BARANOA,36,2.20321951868861
BARANOA,37,2.78113253459526
BARANOA,38,2.89824594334125
BARANOA,39,1.74488150089689
BARANOA,40,0.853941319632234
BARANOA,41,0.278966831871902
BARANOA,43,0.548308922182469
BARANOA,46,0.256434108527132
BARANOA,47,0.259755606312292
BARANOA,48,0.521921597127223
BARANOA,49,0.970210559396606
BARANOA,50,0.625098110465116
BARANOA,51,0.773100713395823
BARANOA,52,0.751169551108707
BARANOA,53,0.388333209213489
BARANOA,54,0.091330125756534
BARANOA,55,0.17205949137148
BARANOA,57,0.21545169498317
BARANOA,58,0.445914935286104
BARANOA,59,0.279150650382769
BARANOA,60,0.734224391178474
BARANOA,61,0.703447246038659
BARANOA,62,0.602110154380338
BARANOA,63,0.662246586601114
BARANOA,64,0.491753262640982
BARANOA,65,0.188728596717195
BARANOA,66,0.449869415386657
BARANOA,67,0.19618474645165
BARANOA,68,0.307079532489369
BARANOA,69,0.828018542304257
BARANOA,70,0.450966703978752
BARANOA,71,0.922156472559698
BARANOA,72,0.293556053321678
BARANOA,73,0.910541752933057
BARANOA,74,0.753300148127734
BARANOA,75,1.42530067069944
BARANOA,76,0.688060337098799
BARANOA,77,2.05587599748184
BARANOA,78,2.53663483951945
CAMPO DE LA CRUZ,18,0.894875236011398
CAMPO DE LA CRUZ,20,3.15823204515577
CAMPO DE LA CRUZ,21,1.43421711422468
CAMPO DE LA CRUZ,22,1.47291788421303
CAMPO DE LA CRUZ,23,0.882981345267589
CAMPO DE LA CRUZ,24,0.534788812135371
CAMPO DE LA CRUZ,25,0.349013092446111
CAMPO DE LA CRUZ,26,1.06860788613614
CAMPO DE LA CRUZ,27,0.490277664185818
CAMPO DE LA CRUZ,29,0.517391253548937
CAMPO DE LA CRUZ,34,1.76640549603337
CAMPO DE LA CRUZ,46,0.702223637425038
CAMPO DE LA CRUZ,47,0.355659642459117
CAMPO DE LA CRUZ,49,0.221403460457751
CAMPO DE LA CRUZ,50,0.0950988651842417
CAMPO DE LA CRUZ,51,0.219007498318544
CAMPO DE LA CRUZ,52,0.719955532188253
CAMPO DE LA CRUZ,53,0.355337972574172
CAMPO DE LA CRUZ,54,4.26207727929576
CAMPO DE LA CRUZ,55,2.36160349059176
CAMPO DE LA CRUZ,56,3.4570270977221
CAMPO DE LA CRUZ,57,1.77431005126348
