"año","casos","poblacion","tasa"
2018,1594,1329184,0.00119923201001517
2019,2060,1378073,0.00149484098447615
2020,1295,1432478,0.000904027845453822
2021,3172,1469499,0.00215855880133297
2022,4257,1499114,0.00283967730272681
2023,2144,1528185,0.00140297149886957
