municipio,año,fecha,precipitacion
GALAPA,2017,2017-01-06,0.0
JUAN DE ACOSTA,2017,2017-01-06,4.0
LURUACO,2017,2017-01-06,2.0
MALAMBO,2017,2017-01-06,0.0
MANATÍ,2017,2017-01-06,23.0
PALMAR DE VARELA,2017,2017-01-06,0.0
PIOJÓ,2017,2017-01-06,1.3333333333333333
POLONUEVO,2017,2017-01-06,0.0
PONEDERA,2017,2017-01-06,0.0
PUERTO COLOMBIA,2017,2017-01-06,0.0
REPELÓN,2017,2017-01-06,11.5
SABANAGRANDE,2017,2017-01-06,0.0
SABANALARGA,2017,2017-01-06,2.0
SANTA LUCÍA,2017,2017-01-06,7.666666666666667
SANTO TOMÁS,2017,2017-01-06,0.0
SOLEDAD,2017,2017-01-06,0.0
SUAN,2017,2017-01-06,0.0
TUBARÁ,2017,2017-01-06,0.0
USIACURÍ,2017,2017-01-06,2.0
BARRANQUILLA,2017,2017-01-07,0.0
BARANOA,2017,2017-01-07,10.0
CAMPO DE LA CRUZ,2017,2017-01-07,13.0
CANDELARIA,2017,2017-01-07,13.0
GALAPA,2017,2017-01-07,0.0
JUAN DE ACOSTA,2017,2017-01-07,0.0
LURUACO,2017,2017-01-07,0.0
MALAMBO,2017,2017-01-07,3.3333333333333335
MANATÍ,2017,2017-01-07,37.0
PALMAR DE VARELA,2017,2017-01-07,10.0
PIOJÓ,2017,2017-01-07,0.0
POLONUEVO,2017,2017-01-07,10.0
PONEDERA,2017,2017-01-07,11.5
PUERTO COLOMBIA,2017,2017-01-07,0.0
REPELÓN,2017,2017-01-07,18.5
SABANAGRANDE,2017,2017-01-07,10.0
SABANALARGA,2017,2017-01-07,5.0
SANTA LUCÍA,2017,2017-01-07,21.0
SANTO TOMÁS,2017,2017-01-07,10.0
SOLEDAD,2017,2017-01-07,0.0
SUAN,2017,2017-01-07,13.0
TUBARÁ,2017,2017-01-07,0.0
USIACURÍ,2017,2017-01-07,5.0
BARRANQUILLA,2017,2017-01-08,0.0
BARANOA,2017,2017-01-08,0.23000000417232513
CAMPO DE LA CRUZ,2017,2017-01-08,1.190000057220459
CANDELARIA,2017,2017-01-08,1.190000057220459
GALAPA,2017,2017-01-08,0.0
JUAN DE ACOSTA,2017,2017-01-08,0.3199999928474426
LURUACO,2017,2017-01-08,-4999.33984375
MALAMBO,2017,2017-01-08,0.07666666805744171
MANATÍ,2017,2017-01-08,2.009999990463257
PALMAR DE VARELA,2017,2017-01-08,0.23000000417232513
PIOJÓ,2017,2017-01-08,-6665.893229166667
POLONUEVO,2017,2017-01-08,0.23000000417232513
PONEDERA,2017,2017-01-08,0.7100000381469727
PUERTO COLOMBIA,2017,2017-01-08,0.0
REPELÓN,2017,2017-01-08,-4998.4951171875
SABANAGRANDE,2017,2017-01-08,0.23000000417232513
SABANALARGA,2017,2017-01-08,0.2750000059604645
SANTA LUCÍA,2017,2017-01-08,1.4633333683013916
SANTO TOMÁS,2017,2017-01-08,0.23000000417232513
SOLEDAD,2017,2017-01-08,0.0
SUAN,2017,2017-01-08,1.190000057220459
TUBARÁ,2017,2017-01-08,0.0
USIACURÍ,2017,2017-01-08,0.27500000099341076
BARRANQUILLA,2017,2017-01-09,0.0
BARANOA,2017,2017-01-09,0.0
CAMPO DE LA CRUZ,2017,2017-01-09,0.0
CANDELARIA,2017,2017-01-09,0.0
GALAPA,2017,2017-01-09,0.0
JUAN DE ACOSTA,2017,2017-01-09,0.0
LURUACO,2017,2017-01-09,-4999.5
MALAMBO,2017,2017-01-09,0.0
MANATÍ,2017,2017-01-09,0.18000000715255737
PALMAR DE VARELA,2017,2017-01-09,0.0
PIOJÓ,2017,2017-01-09,-6666.0
POLONUEVO,2017,2017-01-09,0.0
PONEDERA,2017,2017-01-09,0.0
PUERTO COLOMBIA,2017,2017-01-09,0.0
REPELÓN,2017,2017-01-09,-4999.41015625
SABANAGRANDE,2017,2017-01-09,0.0
SABANALARGA,2017,2017-01-09,0.0
SANTA LUCÍA,2017,2017-01-09,0.06000000238418579
SANTO TOMÁS,2017,2017-01-09,0.0
SOLEDAD,2017,2017-01-09,0.0
SUAN,2017,2017-01-09,0.0
TUBARÁ,2017,2017-01-09,0.009999999776482582
USIACURÍ,2017,2017-01-09,0.0
BARRANQUILLA,2017,2017-01-10,0.0
BARANOA,2017,2017-01-10,0.0
CAMPO DE LA CRUZ,2017,2017-01-10,0.0
CANDELARIA,2017,2017-01-10,0.0
GALAPA,2017,2017-01-10,0.0
JUAN DE ACOSTA,2017,2017-01-10,5.0
LURUACO,2017,2017-01-10,2.5
MALAMBO,2017,2017-01-10,0.0
MANATÍ,2017,2017-01-10,5.0
PALMAR DE VARELA,2017,2017-01-10,0.0
PIOJÓ,2017,2017-01-10,1.6666666666666667
POLONUEVO,2017,2017-01-10,0.0
PONEDERA,2017,2017-01-10,0.0
PUERTO COLOMBIA,2017,2017-01-10,0.0
REPELÓN,2017,2017-01-10,2.5
SABANAGRANDE,2017,2017-01-10,0.0
SABANALARGA,2017,2017-01-10,2.5
SANTA LUCÍA,2017,2017-01-10,1.6666666666666667
SANTO TOMÁS,2017,2017-01-10,0.0
SOLEDAD,2017,2017-01-10,0.0
SUAN,2017,2017-01-10,0.0
TUBARÁ,2017,2017-01-10,0.0
USIACURÍ,2017,2017-01-10,2.5
BARRANQUILLA,2017,2017-01-11,0.0
BARANOA,2017,2017-01-11,0.0
CAMPO DE LA CRUZ,2017,2017-01-11,0.0
CANDELARIA,2017,2017-01-11,0.0
GALAPA,2017,2017-01-11,0.0
JUAN DE ACOSTA,2017,2017-01-11,0.0
LURUACO,2017,2017-01-11,0.0
MALAMBO,2017,2017-01-11,0.0
MANATÍ,2017,2017-01-11,0.0
PALMAR DE VARELA,2017,2017-01-11,0.0
PIOJÓ,2017,2017-01-11,0.0
POLONUEVO,2017,2017-01-11,0.0
PONEDERA,2017,2017-01-11,0.0
PUERTO COLOMBIA,2017,2017-01-11,0.0
REPELÓN,2017,2017-01-11,0.0
SABANAGRANDE,2017,2017-01-11,0.0
SABANALARGA,2017,2017-01-11,0.0
SANTA LUCÍA,2017,2017-01-11,0.0
SANTO TOMÁS,2017,2017-01-11,0.0
SOLEDAD,2017,2017-01-11,0.0
SUAN,2017,2017-01-11,0.0
TUBARÁ,2017,2017-01-11,0.0
USIACURÍ,2017,2017-01-11,0.0
BARRANQUILLA,2017,2017-01-12,0.0
BARANOA,2017,2017-01-12,0.0
CAMPO DE LA CRUZ,2017,2017-01-12,0.0
CANDELARIA,2017,2017-01-12,0.0
GALAPA,2017,2017-01-12,0.0
